mes,site,Medio_de_pago,Incoming_amt,Incoming_qty,Status
fuera_de_rango,MLC,digital_currency,818.91,29,Rej. by PF
Abril,MLC,prepaid_card,156.57,2,Cancelled
Mayo,MLC,credit card,1719171.82,7294,Rej. by PF
Mayo,MLC,prepaid_card,21.67,1,Cancelled
Mayo,MLC,debit card,503847.82,4023,Rej. by PF
Abril,MLC,account_money,12441.3,230,Rej. by PF
fuera_de_rango,MLC,credit card,249.62,6,Rej. by Risk Bank - Rej. by PF
Mayo,MLC,credit card,171292.49,2959,Rej. Blacklist
Abril,MLC,credit card,3508342.19,40791,Rej. by Risk Bank - App. by PF
fuera_de_rango,MLC,credit card,130232.77,528,Rej. by PF
Abril,MLC,debit card,596422.02,5905,Rej. by PF
Abril,MLC,debit card,74681579.92,1876261,Approved
Abril,MLC,prepaid_card,251.91,2,Rej. by PF
Mayo,MLC,digital_currency,1788684.31,55356,Approved
Mayo,MLC,debit card,1487526.66,22941,Rej. by Risk Bank - App. by PF
Abril,MLC,credit card,459401.4,8360,Cancelled
fuera_de_rango,MLC,debit card,179029.66,2763,Rej. by User Error
fuera_de_rango,MLC,credit card,6401491.94,112056,Approved
Mayo,MLC,prepaid_card,2783.2,11,Rej. by PF
Abril,MLC,prepaid_card,117.98,4,Rej. by Risk Bank - App. by PF
Abril,MLC,credit card,157303.32,2831,Rej. Blacklist
Mayo,MLC,credit card,449585.74,8327,Rej. by User Error
Abril,MLC,digital_currency,913992.68,27277,Approved
fuera_de_rango,MLC,credit card,45123.41,599,Rej. by Bank Other
Mayo,MLC,credit card,650484.66,8906,Rej. by Bank Other
fuera_de_rango,MLC,account_money,7464.43,297,Cancelled
Mayo,MLC,credit card,3657344.74,41217,Insufficient Amount
Abril,MLC,prepaid_card,2979.27,5,Insufficient Amount
Abril,MLC,account_money,97134.01,3963,Cancelled
fuera_de_rango,MLC,credit card,26373.2,477,Cancelled
Abril,MLC,credit card,556762.63,9491,Rej. by User Error
Mayo,MLC,debit card,1449863.6,27357,Rej. by User Error
fuera_de_rango,MLC,credit card,64790.54,1048,Rej. by User Error
Abril,MLC,credit card,2164691.75,9144,Rej. by PF
fuera_de_rango,MLC,debit card,6256013.12,151534,Approved
Abril,MLC,debit card,168675.93,3542,Rej. Blacklist
